X,	Y,	Z,	Resultado	
1.5,	1.5,	-2,	11.7021	
1.5,	1.5,	-1.5,	13.125	
1.5,	1.5,	-1,	14.5327	
1.5,	1.5,	-0.5,	15.6333	
1.5,	1.5,	0,	16.0641	
1.5,	1.5,	0.5,	15.6435	
1.5,	1.5,	1,	14.5457	
1.5,	1.5,	1.5,	13.1359	
1.5,	1.5,	2,	11.7099	
1.5,	2,	-2,	10.6594	
1.5,	2,	-1.5,	11.7015	
1.5,	2,	-1,	12.6666	
1.5,	2,	-0.5,	13.3757	
1.5,	2,	0,	13.642	
1.5,	2,	0.5,	13.3811	
1.5,	2,	1,	12.6744	
1.5,	2,	1.5,	11.709	
1.5,	2,	2,	10.6655	
2,	-2,	-2,	9.86579	
2,	-2,	-1.5,	10.6755	
2,	-2,	-1,	11.3938	
2,	-2,	-0.5,	11.9014	
2,	-2,	0,	12.0864	
2,	-2,	0.5,	11.9015	
2,	-2,	1,	11.3942	
2,	-2,	1.5,	10.6764	
2,	-2,	2,	9.86708	
2,	-1.5,	-2,	10.6715	
2,	-1.5,	-1.5,	11.7189	
2,	-1.5,	-1,	12.6899	
2,	-1.5,	-0.5,	13.4031	
2,	-1.5,	0,	13.6688	
2,	-1.5,	0.5,	13.4027	
2,	-1.5,	1,	12.6899	
2,	-1.5,	1.5,	11.7197	
2,	-1.5,	2,	10.673	
2,	-1,	-2,	11.3841	
2,	-1,	-1.5,	12.683	
2,	-1,	-1,	13.9417	
2,	-1,	-0.5,	14.9048	
2,	-1,	0,	15.2726	
2,	-1,	0.5,	14.9036	
2,	-1,	1,	13.9411	
2,	-1,	1.5,	12.6838	
2,	-1,	2,	11.3859	
2,	-0.5,	-2,	11.8853	
2,	-0.5,	-1.5,	13.387	
2,	-0.5,	-1,	14.8935	
2,	-0.5,	-0.5,	16.0856	
2,	-0.5,	0,	16.5511	
2,	-0.5,	0.5,	16.0848	
2,	-0.5,	1,	14.8938	
2,	-0.5,	1.5,	13.3889	
2,	-0.5,	2,	11.8879	
2,	0,	-2,	12.065	
2,	0,	-1.5,	13.6447	
2,	0,	-1,	15.2498	
2,	0,	-0.5,	16.5369	
2,	0,	0,	17.0452	
2,	0,	0.5,	16.539	
2,	0,	1,	15.2536	
2,	0,	1.5,	13.649	
2,	0,	2,	12.069	
2,	0.5,	-2,	11.878	
2,	0.5,	-1.5,	13.3753	
2,	0.5,	-1,	14.8754	
2,	0.5,	-0.5,	16.0622	
2,	0.5,	0,	16.5281	
2,	0.5,	0.5,	16.0677	
2,	0.5,	1,	14.883	
2,	0.5,	1.5,	13.3821	
2,	0.5,	2,	11.8834	
2,	1,	-2,	11.3719	
2,	1,	-1.5,	12.6643	
2,	1,	-1,	13.9148	
2,	1,	-0.5,	14.8715	
2,	1,	0,	15.2396	
2,	1,	0.5,	14.8776	
2,	1,	1,	13.9232	
2,	1,	1.5,	12.6719	
2,	1,	2,	11.3779	
2,	1.5,	-2,	10.6572	
2,	1.5,	-1.5,	11.6986	
2,	1.5,	-1,	12.6627	
2,	1.5,	-0.5,	13.3709	
2,	1.5,	0,	13.6367	
2,	1.5,	0.5,	13.3757	
2,	1.5,	1,	12.6697	
2,	1.5,	1.5,	11.7053	
2,	1.5,	2,	10.6628	
2,	2,	-2,	9.85156	
2,	2,	-1.5,	10.6566	
2,	2,	-1,	11.3701	
2,	2,	-0.5,	11.8744	
2,	2,	0,	12.0593	
2,	2,	0.5,	11.8775	
2,	2,	1,	11.3749	
2,	2,	1.5,	10.6617	
2,	2,	2,	9.85612	
